    "STOPID","PLANVERSIONID","SHORTNAME","LONGNAME","GPS_X","GPS_Y","DECIMALLONGITUDE","DECIMALLATITUDE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
512043,241,C52A4A,Cl 52N entre Av 4A y 4,-763115049,32915740,-76.52084694,3.48770556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512044,241,C52A3H,Cl 52 entre Av 3H y 3F,-763102038,32908768,-76.51723278,3.48576889,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512046,241,C25A2DN,Cl 25 entre Av 2DN y 2CN,-763120664,32749518,-76.52240667,3.463755,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512054,241,C34A3CN,Cl 34 entre Av 3CN y 4N,-763124635,32818261,-76.52350972,3.47173917,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512055,241,A2BNC34,Av 2BN entre Cl 34 y 35,-763133658,32820161,-76.52601611,3.47226694,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512056,241,A2BNC35,Av 2BN entre Cl 35 y 34,-763134255,32820229,-76.52618194,3.47228583,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512057,241,A2BNC25,Av 2BN entre Cl 25 y 24,-763129089,32804763,-76.52474694,3.46798972,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512062,241,C73A2BN,Cl 73 entre Av 2B3 y 2B2N,-763019362,32933402,-76.50537833,3.49261167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512063,241,A2BBSN,Av 2BSN entre Cl 73Bis y 74,-763012942,32935580,-76.503595,3.49321667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
512064,241,C74NA2BN,Cl 74N entre Av 2BN y 2CN,-763014454,32940422,-76.504015,3.49456167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514052,241,K23C83,Kr 23 entre Cl 83 y 81B,-762818432,32615546,-76.47178667,3.43765167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514053,241,C80K23,Cl 80 entre Kr 23 y 25,-762824630,32616452,-76.47350833,3.43790333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514054,241,K25C80,Kr 25 entre Cl 80 y 79,-762830413,32615487,-76.47511472,3.43763528,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514055,241,K25C771,Kr 25 entre Cl 77 y 78,-762838361,32621032,-76.4773225,3.43917556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514056,241,K25C74,Kr 25 entre Cl 74 y 75,-762846002,32626581,-76.479445,3.44071694,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514058,241,K15C74,Kr 15 entre Cl 74A y 74,-762855550,32646681,-76.48209722,3.44630028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514065,241,D26FC73,Dg 26F1 entre Tr 73A y Cl 73,-762859361,32609878,-76.48315583,3.43607722,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514067,241,T103C56B,Tr 103 entre Cl 74 y Kr 26B2,-762850618,32616698,-76.48072722,3.43797167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514068,241,T103C76,Tr 103 entre Cl 76 y 77,-762847872,32608812,-76.47996444,3.43578111,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514069,241,T103C79,Tr 103 entre Cl 79 y 79A,-762843622,32556713,-76.47878389,3.43242028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514070,241,T103D26I,Tr 103 entre Dg 26I y 26I1,-762839140,32544161,-76.47753889,3.42893361,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514071,241,T103D26P,Tr 103 entre Dg 26P3 y 26P4,-762839450,32529525,-76.477625,3.42486806,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514072,241,T103D261,Tr 103 entre Dg 26P8 y 26P9,-762840782,32522310,-76.477995,3.42286389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514073,241,T103D263,Tr 103 entre Dg 26P14 y 26P15,-762842194,32514483,-76.47838722,3.42068972,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514074,241,C102K27C,Tr 103 entre Kr 27C y 27D,-762844666,32500292,-76.47907389,3.41674778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514075,241,K28C101,Kr 28 entre Cl 101 y 100,-762848748,32455954,-76.48020778,3.41554278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
