========================================
REPORTE COMPLETO SISTEMA SITM-MIO
========================================

Estadísticas Generales:
  Total de Nodos: 2119
  Total de Arcos: 3974
  Total de Rutas: 181
  Velocidad Promedio General: 16,33 km/h

Resumen por Rutas:
------------------------------------------------------------
Ruta: P84A-1 | Arcos: 38 | Distancia: 10,44 km | Tiempo: 42,43 min | Velocidad: 14,47 km/h
Ruta: A17B-0 | Arcos: 23 | Distancia: 10,61 km | Tiempo: 33,23 min | Velocidad: 17,98 km/h
Ruta: P84A-0 | Arcos: 35 | Distancia: 10,34 km | Tiempo: 42,06 min | Velocidad: 14,51 km/h
Ruta: T50-0 | Arcos: 14 | Distancia: 6,90 km | Tiempo: 15,03 min | Velocidad: 26,79 km/h
Ruta: T50-1 | Arcos: 11 | Distancia: 6,58 km | Tiempo: 13,58 min | Velocidad: 29,18 km/h
Ruta: P27D-0 | Arcos: 42 | Distancia: 15,33 km | Tiempo: 60,49 min | Velocidad: 14,86 km/h
Ruta: P40B-1 | Arcos: 32 | Distancia: 10,37 km | Tiempo: 41,50 min | Velocidad: 14,75 km/h
Ruta: P27D-1 | Arcos: 37 | Distancia: 15,26 km | Tiempo: 57,86 min | Velocidad: 15,14 km/h
Ruta: P40B-0 | Arcos: 32 | Distancia: 12,89 km | Tiempo: 50,43 min | Velocidad: 14,38 km/h
Ruta: A33-1 | Arcos: 21 | Distancia: 5,64 km | Tiempo: 21,33 min | Velocidad: 15,71 km/h
Ruta: A75-1 | Arcos: 14 | Distancia: 4,02 km | Tiempo: 14,88 min | Velocidad: 15,87 km/h
Ruta: A52-1 | Arcos: 11 | Distancia: 2,84 km | Tiempo: 11,06 min | Velocidad: 15,40 km/h
Ruta: A75-0 | Arcos: 16 | Distancia: 3,63 km | Tiempo: 14,13 min | Velocidad: 15,40 km/h
Ruta: A12C-1 | Arcos: 3 | Distancia: 1,65 km | Tiempo: 4,75 min | Velocidad: 19,80 km/h
Ruta: A12C-0 | Arcos: 6 | Distancia: 2,66 km | Tiempo: 8,78 min | Velocidad: 16,50 km/h
Ruta: A14B-1 | Arcos: 16 | Distancia: 10,06 km | Tiempo: 30,63 min | Velocidad: 18,29 km/h
Ruta: A14B-0 | Arcos: 20 | Distancia: 9,92 km | Tiempo: 32,41 min | Velocidad: 17,38 km/h
Ruta: U22-1 | Arcos: 19 | Distancia: 6,14 km | Tiempo: 19,96 min | Velocidad: 17,89 km/h
Ruta: A05-1 | Arcos: 8 | Distancia: 3,44 km | Tiempo: 11,55 min | Velocidad: 17,05 km/h
Ruta: A05-0 | Arcos: 14 | Distancia: 3,62 km | Tiempo: 14,11 min | Velocidad: 15,40 km/h
Ruta: A47-1 | Arcos: 34 | Distancia: 9,90 km | Tiempo: 38,58 min | Velocidad: 15,40 km/h
Ruta: R57-1 | Arcos: 11 | Distancia: 0,26 km | Tiempo: 0,91 min | Velocidad: 17,50 km/h
Ruta: P47A-1 | Arcos: 40 | Distancia: 11,96 km | Tiempo: 48,83 min | Velocidad: 14,45 km/h
Ruta: R53-1 | Arcos: 2 | Distancia: 0,52 km | Tiempo: 1,79 min | Velocidad: 17,50 km/h
Ruta: P47A-0 | Arcos: 52 | Distancia: 14,51 km | Tiempo: 59,71 min | Velocidad: 14,08 km/h
Ruta: A47-0 | Arcos: 18 | Distancia: 5,36 km | Tiempo: 20,31 min | Velocidad: 15,77 km/h
Ruta: A85-1 | Arcos: 22 | Distancia: 5,35 km | Tiempo: 20,19 min | Velocidad: 15,70 km/h
Ruta: A24-1 | Arcos: 12 | Distancia: 2,71 km | Tiempo: 10,55 min | Velocidad: 15,40 km/h
Ruta: E27-1 | Arcos: 24 | Distancia: 13,92 km | Tiempo: 38,67 min | Velocidad: 20,31 km/h
Ruta: A24-0 | Arcos: 10 | Distancia: 2,64 km | Tiempo: 10,30 min | Velocidad: 15,40 km/h
Ruta: E27-0 | Arcos: 18 | Distancia: 12,80 km | Tiempo: 33,84 min | Velocidad: 21,25 km/h
